"","x"
"1",-0.334317478943134
"2",-2.18574193944757
"3",-0.627525060347173
"4",0.263276835798075
"5",0.653762651567602
"6",1.32549239491799
"7",0.110691218184468
"8",0.408213559983751
"9",1.06189975986312
"10",0.471365962132313
"11",0.33054787286937
"12",0.15717295516959
"13",1.61026658100406
"14",-1.3884918936901
"15",0.146778305126504
"16",0.879503070427835
"17",2.34828673406319
"18",-0.535542213739485
"19",1.25165115451758
"20",-0.362559546984727
"21",-0.29666138822101
"22",0.101081070031426
"23",0.982861194441166
"24",-1.5640241915875
"25",-2.68037038112047
"26",-0.173886842429084
"27",0.993255844484252
"28",0.0461659377283285
"29",0.0704854963197003
"30",-0.223702712446894
"31",0.258177573512788
"32",-1.83742310026792
"33",0.097550811526227
"34",-1.02742489879723
"35",1.31058685900715
"36",-0.956231352275715
"37",0.943439974466442
"38",1.08288518542181
"39",0.496470022613729
"40",0.559230173817269
"41",0.132068894688174
"42",0.465482197956981
"43",-2.08865983055459
"44",1.55554757417347
"45",-0.703817869153977
"46",-0.0136523313875458
"47",0.654351027985135
"48",-0.152705291397889
"49",0.492743638636019
"50",0.36369307772374
"51",-0.27449920982726
"52",-1.92116867703015
"53",0.442927768618209
"54",0.587668367331374
"55",0.600220397572082
"56",-0.487883723919296
"57",-0.660376076992776
"58",-2.06845890688595
"59",-0.392370618806408
"60",-2.32793290701809
"61",1.38491841308884
"62",0.463128692286848
"63",1.22586065488237
